timestamp,open,high,low,close
1583884800000,1.0367,1.03678,1.03636,1.03668
1583885100000,1.03671,1.03694,1.03639,1.03659
1583885400000,1.03659,1.03728,1.03656,1.0371
1583885700000,1.0371,1.0371,1.03683,1.03691
1583886000000,1.03691,1.03698,1.03682,1.03683
1583886300000,1.03683,1.0371,1.03683,1.03702
1583886600000,1.03702,1.03711,1.0369,1.03693
1583886900000,1.03693,1.03721,1.0369,1.03693
1583887200000,1.03693,1.03714,1.03688,1.03691
1583887500000,1.03691,1.03704,1.0368,1.03685
1583887800000,1.03685,1.03709,1.03668,1.03696
1583888100000,1.03687,1.03711,1.03649,1.03684
1583888400000,1.03684,1.03686,1.03634,1.03641
1583888700000,1.03641,1.03649,1.03524,1.03541
1583889000000,1.03537,1.03552,1.03484,1.0351
1583889300000,1.0351,1.03512,1.03431,1.03432
1583889600000,1.0343,1.03462,1.03413,1.03456
1583889900000,1.03454,1.03537,1.03445,1.03531
1583890200000,1.03532,1.03549,1.03458,1.03475
1583890500000,1.03474,1.03494,1.03442,1.03453
1583890800000,1.03453,1.03463,1.03414,1.0342
1583891100000,1.03423,1.03489,1.03421,1.03477
1583891400000,1.03478,1.03515,1.03477,1.03504
1583891700000,1.03505,1.03515,1.03494,1.03505
1583892000000,1.03505,1.03516,1.03456,1.03462
1583892300000,1.0346,1.03476,1.0344,1.03458
1583892600000,1.0346,1.03509,1.03456,1.03497
1583892900000,1.035,1.0355,1.03487,1.03541
1583893200000,1.03539,1.03586,1.03535,1.03576
1583893500000,1.03578,1.03596,1.03565,1.03587
1583893800000,1.0359,1.03609,1.03572,1.03608
1583894100000,1.03609,1.03622,1.03595,1.03604
1583894400000,1.0361,1.03656,1.0361,1.03642
1583894700000,1.03643,1.03678,1.0364,1.03654
1583895000000,1.03653,1.03661,1.03636,1.03654
1583895300000,1.03651,1.03652,1.03559,1.03559
1583895600000,1.0356,1.03579,1.03507,1.03544
1583895900000,1.03544,1.03601,1.03527,1.03601
1583896200000,1.03601,1.03652,1.03592,1.03643
1583896500000,1.03649,1.03715,1.03635,1.03714
1583896800000,1.03713,1.03714,1.03628,1.03664
1583897100000,1.03664,1.03665,1.03603,1.03609
1583897400000,1.03604,1.03631,1.03604,1.03611
1583897700000,1.03614,1.0362,1.03559,1.03586
1583898000000,1.03587,1.03607,1.03576,1.03586
1583898300000,1.03587,1.0364,1.03571,1.0364
1583898600000,1.03639,1.0366,1.03617,1.03617
1583898900000,1.03619,1.03649,1.03596,1.03596
1583899200000,1.03596,1.03609,1.03564,1.03566
1583899500000,1.03566,1.0358,1.03563,1.03573
1583899800000,1.03573,1.03576,1.0353,1.03537
1583900100000,1.03536,1.03549,1.03528,1.03538
1583900400000,1.03538,1.03597,1.03532,1.03578
1583900700000,1.0358,1.03581,1.035,1.03503
1583901000000,1.03503,1.03528,1.03497,1.03519
1583901300000,1.03519,1.03525,1.03482,1.03494
1583901600000,1.03496,1.03511,1.03488,1.03494
1583901900000,1.03494,1.03594,1.03494,1.03589
1583902200000,1.03588,1.03588,1.03537,1.0356
1583902500000,1.03561,1.03565,1.03546,1.03546
1583902800000,1.03546,1.03547,1.03455,1.03464
1583903100000,1.03464,1.03467,1.03393,1.03418
1583903400000,1.03418,1.03455,1.03417,1.03451
1583903700000,1.03452,1.03461,1.03437,1.03447
1583904000000,1.03446,1.03453,1.03424,1.03431
1583904300000,1.03434,1.0345,1.03387,1.03434
1583904600000,1.03445,1.03455,1.03387,1.03428
1583904900000,1.03428,1.0344,1.03383,1.0339
1583905200000,1.03391,1.0341,1.03378,1.03406
1583905500000,1.03406,1.03416,1.03379,1.03382
1583905800000,1.03384,1.03406,1.0338,1.03389
1583906100000,1.03388,1.0339,1.03348,1.03352
1583906400000,1.03352,1.03433,1.03348,1.03405
1583906700000,1.03405,1.03436,1.03396,1.03427
1583907000000,1.03425,1.03431,1.03353,1.03359
