timestamp,open,high,low,close
1742256000000,0.88132,0.88133,0.88118,0.88124
1742256300000,0.88125,0.88126,0.88102,0.88106
1742256600000,0.88108,0.88119,0.88097,0.88098
1742256900000,0.88097,0.88105,0.88078,0.88082
1742257200000,0.88083,0.88092,0.88083,0.88087
1742257500000,0.88089,0.88093,0.88084,0.88092
1742257800000,0.88094,0.88106,0.88088,0.88106
1742258100000,0.88107,0.88114,0.881,0.88113
1742258400000,0.88114,0.88118,0.8811,0.88118
1742258700000,0.88119,0.88122,0.8811,0.88115
1742259000000,0.88116,0.88129,0.88108,0.88128
1742259300000,0.88129,0.88133,0.88124,0.88128
1742259600000,0.88129,0.88142,0.8812,0.8812
1742259900000,0.88121,0.88126,0.88114,0.8812
1742260200000,0.88119,0.88129,0.88118,0.88125
1742260500000,0.88124,0.88147,0.88124,0.88147
1742260800000,0.88145,0.88148,0.88135,0.8814
1742261100000,0.8814,0.88144,0.88136,0.88139
1742261400000,0.88139,0.88141,0.88133,0.88137
1742261700000,0.88137,0.88148,0.88137,0.88147
1742262000000,0.88146,0.88146,0.88137,0.88144
1742262300000,0.88143,0.88156,0.88143,0.88155
1742262600000,0.88156,0.8816,0.88139,0.8814
1742262900000,0.88142,0.88146,0.88137,0.88145
1742263200000,0.88144,0.88146,0.88127,0.88143
1742263500000,0.88144,0.88144,0.88138,0.88142
1742263800000,0.88141,0.88141,0.88124,0.8813
1742264100000,0.88132,0.88144,0.88131,0.88133
1742264400000,0.88135,0.88139,0.88125,0.88137
1742264700000,0.88139,0.8815,0.88134,0.88147
1742265000000,0.88147,0.88147,0.88128,0.88141
1742265300000,0.88139,0.88141,0.88135,0.88136
1742265600000,0.88136,0.88139,0.88126,0.88133
1742265900000,0.88134,0.88138,0.8813,0.88131
1742266200000,0.88132,0.88141,0.8813,0.88133
1742266500000,0.88134,0.88141,0.88131,0.8814
1742266800000,0.88141,0.88141,0.88123,0.88127
1742267100000,0.88126,0.88128,0.88108,0.88116
1742267400000,0.88117,0.88119,0.88101,0.88104
1742267700000,0.88103,0.88105,0.88085,0.8809
1742268000000,0.88092,0.88107,0.88089,0.88107
1742268300000,0.88104,0.88111,0.88097,0.8811
1742268600000,0.88108,0.88116,0.88106,0.88107
1742268900000,0.88108,0.88114,0.88104,0.88107
