timestamp,open,high,low,close
1330646400000,1.28866,1.28879,1.2879,1.2879
1330646700000,1.2879,1.2879,1.2879,1.2879
1330647000000,1.2879,1.2879,1.28753,1.28756
1330647300000,1.28759,1.28771,1.28746,1.28756
1330647600000,1.28755,1.28791,1.28708,1.28782
1330647900000,1.28779,1.28798,1.28757,1.28765
1330648200000,1.28765,1.28788,1.28751,1.28754
1330648500000,1.28754,1.28782,1.28752,1.28768
1330648800000,1.28763,1.28789,1.28749,1.2878
1330649100000,1.2878,1.28797,1.28745,1.28747
1330649400000,1.2875,1.28797,1.28731,1.28744
1330649700000,1.2873,1.288,1.2873,1.28791
1330650000000,1.28796,1.28799,1.28764,1.28783
1330650300000,1.28779,1.28796,1.28768,1.28781
1330650600000,1.28781,1.28813,1.28769,1.28804
1330650900000,1.288,1.28833,1.28795,1.28807
1330651200000,1.28807,1.28833,1.28803,1.28808
1330651500000,1.28808,1.2883,1.28804,1.28812
1330651800000,1.28812,1.28815,1.28785,1.28785
1330652100000,1.28785,1.28786,1.28761,1.2877
1330652400000,1.2877,1.288,1.28761,1.288
1330652700000,1.288,1.28814,1.28794,1.28806
1330653000000,1.28806,1.28833,1.28802,1.28816
1330653300000,1.28813,1.28851,1.2881,1.28831
1330653600000,1.28831,1.28841,1.28806,1.2881
1330653900000,1.2881,1.28819,1.28787,1.28792
1330654200000,1.28797,1.28802,1.28784,1.28784
1330654500000,1.28783,1.28803,1.28771,1.28803
1330654800000,1.288,1.28805,1.28791,1.28799
1330655100000,1.28801,1.28814,1.2879,1.28814
1330655400000,1.28814,1.28872,1.28813,1.28851
1330655700000,1.28851,1.28867,1.2884,1.28862
1330656000000,1.28873,1.28912,1.28873,1.28907
1330656300000,1.28907,1.28911,1.28889,1.28902
1330656600000,1.28902,1.28909,1.2889,1.28898
1330656900000,1.28893,1.28915,1.28881,1.28886
1330657200000,1.28887,1.28887,1.28851,1.28875
1330657500000,1.28872,1.28904,1.28852,1.2886
1330657800000,1.28858,1.28893,1.28851,1.28882
1330658100000,1.28885,1.28898,1.28858,1.28866
1330658400000,1.28866,1.28875,1.28853,1.28875
1330658700000,1.28875,1.28905,1.28861,1.28896
1330659000000,1.28896,1.28909,1.28875,1.2888
1330659300000,1.28879,1.28889,1.28865,1.28865
1330659600000,1.28866,1.28884,1.28849,1.28852
1330659900000,1.28853,1.28857,1.2884,1.28848
1330660200000,1.28848,1.28905,1.28824,1.28892
1330660500000,1.28887,1.28921,1.28882,1.28907
1330660800000,1.28896,1.28896,1.28832,1.28858
1330661100000,1.28858,1.28867,1.28831,1.28837
1330661400000,1.28837,1.28844,1.28816,1.28817
1330661700000,1.28819,1.2883,1.2881,1.28823
1330662000000,1.28821,1.28863,1.2881,1.2885
1330662300000,1.2885,1.28906,1.2885,1.28884
1330662600000,1.28884,1.28912,1.28879,1.28892
1330662900000,1.28895,1.289,1.28872,1.28888
1330663200000,1.2889,1.28904,1.2888,1.28903
1330663500000,1.28893,1.28915,1.28881,1.28891
1330663800000,1.28888,1.289,1.28882,1.2889
1330664100000,1.28895,1.28917,1.28881,1.28882
1330664400000,1.28882,1.28885,1.28866,1.28878
1330664700000,1.28882,1.2889,1.28863,1.28875
1330665000000,1.28871,1.28894,1.28866,1.28876
1330665300000,1.28876,1.28884,1.28858,1.28864
