timestamp,open,high,low,close
1165881900000,1.13949,1.13958,1.13913,1.13958
1165882200000,1.13965,1.14017,1.13931,1.13985
1165882500000,1.14003,1.1404,1.13917,1.13953
1165882800000,1.13938,1.14002,1.13901,1.13951
1165883100000,1.13978,1.13999,1.13872,1.13948
1165883400000,1.13908,1.13953,1.13874,1.139
1165883700000,1.1394,1.13969,1.13902,1.13967
1165884000000,1.13917,1.13971,1.13897,1.13921
1165884300000,1.13916,1.13973,1.13866,1.13891
1165884600000,1.13891,1.13923,1.13844,1.13899
1165884900000,1.13899,1.13917,1.13879,1.13895
1165885200000,1.1394,1.1396,1.13841,1.13863
1165885500000,1.13878,1.13911,1.13821,1.13854
1165885800000,1.13854,1.1391,1.13834,1.13876
1165886100000,1.13855,1.13909,1.13832,1.13849
1165886400000,1.13867,1.13896,1.13833,1.13864
1165886700000,1.1387,1.13892,1.13824,1.1388
1165887000000,1.1388,1.13911,1.138,1.13867
1165887300000,1.13844,1.13874,1.13784,1.13856
1165887600000,1.13844,1.13903,1.13836,1.13836
1165887900000,1.13857,1.13887,1.13832,1.13878
1165888200000,1.13878,1.13889,1.13827,1.13854
1165888500000,1.13832,1.13907,1.13806,1.13871
1165888800000,1.13843,1.13925,1.13819,1.13851
1165889100000,1.13876,1.13876,1.13791,1.13833
1165889400000,1.13844,1.13844,1.13802,1.13817
1165889700000,1.13807,1.13851,1.1376,1.13792
1165890000000,1.13758,1.13817,1.13704,1.13734
1165890300000,1.13747,1.13752,1.13714,1.13714
1165890600000,1.13712,1.13775,1.13705,1.13775
1165890900000,1.13744,1.13804,1.13714,1.13765
1165891200000,1.13766,1.13845,1.13754,1.13764
1165891500000,1.13828,1.13828,1.13756,1.13771
1165891800000,1.13815,1.13827,1.13746,1.13797
1165892100000,1.13797,1.13822,1.1375,1.13772
1165892400000,1.13772,1.13779,1.137,1.13728
1165892700000,1.1375,1.13764,1.13697,1.13734
1165893000000,1.13746,1.13772,1.13707,1.1373
1165893300000,1.1378,1.13794,1.13712,1.13743
1165893600000,1.1373,1.13801,1.13723,1.13743
1165893900000,1.13764,1.13764,1.13694,1.13741
1165894200000,1.13724,1.13773,1.13708,1.13721
1165894500000,1.13721,1.13765,1.13721,1.13743
1165894800000,1.13742,1.13786,1.13703,1.13724
1165895100000,1.13766,1.13766,1.13681,1.13691
1165895400000,1.13689,1.13763,1.13657,1.13682
1165895700000,1.1372,1.13728,1.13663,1.13667
1165896000000,1.13736,1.13803,1.1368,1.13755
1165896300000,1.13783,1.13814,1.13756,1.13793
1165896600000,1.13779,1.13846,1.13759,1.13797
1165896900000,1.13784,1.13801,1.13738,1.13766
1165897200000,1.13766,1.13798,1.13752,1.13753
1165897500000,1.13757,1.13808,1.1374,1.13777
1165897800000,1.13786,1.1383,1.1374,1.13785
1165898100000,1.13785,1.13843,1.13755,1.13773
1165898400000,1.13796,1.13796,1.13698,1.13747
1165898700000,1.13757,1.13843,1.13736,1.13837
1165899000000,1.13806,1.13878,1.13766,1.13875
1165899300000,1.13876,1.13899,1.13816,1.1384
1165899600000,1.13822,1.13861,1.13746,1.13796
1165899900000,1.13825,1.13862,1.13807,1.13836
1165900200000,1.13846,1.13949,1.13827,1.13949
1165900500000,1.13882,1.1396,1.13865,1.13938
1165900800000,1.13938,1.13938,1.1387,1.13889
1165901100000,1.1394,1.13951,1.13859,1.13897
1165901400000,1.13917,1.13959,1.13875,1.13916
1165901700000,1.13926,1.13982,1.13874,1.13905
1165902000000,1.13922,1.13966,1.13886,1.1394
1165902300000,1.1394,1.1396,1.13888,1.13924
1165902600000,1.13909,1.13994,1.13908,1.13966
1165902900000,1.13969,1.13981,1.13902,1.13964
1165903200000,1.13962,1.13977,1.13862,1.13929
1165903500000,1.13936,1.13953,1.13859,1.13909
1165903800000,1.13947,1.13947,1.1388,1.13906
1165904100000,1.13878,1.13944,1.13872,1.13905
1165904400000,1.13903,1.13951,1.13895,1.13921
1165904700000,1.13922,1.13968,1.13872,1.13968
1165905000000,1.13962,1.13972,1.13912,1.13948
1165905300000,1.13948,1.13963,1.13899,1.13899
1165905600000,1.13928,1.13939,1.13855,1.13927
1165905900000,1.13927,1.13969,1.13883,1.13907
1165906200000,1.13926,1.13962,1.13862,1.13862
1165906500000,1.13915,1.13946,1.13842,1.13908
1165906800000,1.13896,1.13966,1.13863,1.139
1165907100000,1.139,1.13945,1.13843,1.13945
1165907400000,1.13929,1.13975,1.13894,1.13947
1165907700000,1.13936,1.13999,1.13913,1.1396
1165908000000,1.13937,1.13973,1.1387,1.1387
1165908300000,1.13964,1.13979,1.13863,1.13908
1165908600000,1.13959,1.13973,1.13907,1.13927
1165908900000,1.1393,1.13964,1.1391,1.13922
1165909200000,1.13922,1.13973,1.13866,1.13958
1165909500000,1.13927,1.13964,1.13894,1.13909
1165909800000,1.13886,1.13936,1.13847,1.13914
1165910100000,1.13902,1.14039,1.13902,1.14026
1165910400000,1.14029,1.14061,1.13931,1.13967
1165910700000,1.13977,1.14083,1.13948,1.14043
1165911000000,1.13977,1.1401,1.13946,1.1399
1165911300000,1.1399,1.14017,1.13933,1.14013
1165911600000,1.13984,1.14088,1.13968,1.14057
1165911900000,1.14024,1.14082,1.14011,1.14029
